postal_code;latitude;longitude
104 05;59.3326;18.0649
111 20;59.3326;18.0649
111 21;59.3326;18.0649
111 22;59.3326;18.0649
111 23;59.3326;18.0649
111 27;59.3326;18.0649
111 28;59.3326;18.0649
111 29;59.3326;18.0649
111 30;59.3326;18.0649
111 34;59.3326;18.0649
111 36;59.3326;18.0649
111 37;59.3326;18.0649
111 40;59.3326;18.0649
111 43;59.3326;18.0649
111 45;59.3326;18.0649
111 47;59.3326;18.0649
111 48;59.3326;18.0649
111 53;59.3326;18.0649
111 56;59.3326;18.0649
111 57;59.3326;18.0649
111 60;59.3326;18.0649
111 64;59.3326;18.0649
112 16;59.3402333;18.0071073
112 19;59.3338024;18.0220723
112 20;59.3326;18.0649
112 21;59.3326;18.0649
112 23;59.3326;18.0649
112 26;59.3326;18.0649
112 27;59.3326;18.0649
112 31;59.3326;18.0649
112 32;59.3326;18.0649
112 33;59.3326;18.0649
112 34;59.3326;18.0649
112 35;59.3326;18.0649
112 38;59.3326;18.0649
112 39;59.3326;18.0649
112 42;59.3326;18.0649
112 43;59.3326;18.0649
112 45;59.3326;18.0649
112 47;59.3326;18.0649
112 50;59.3326;18.0649
112 51;59.3326;18.0649
112 52;59.3326;18.0649
112 56;59.3326;18.0649
112 57;59.3326;18.0649
112 59;59.3326;18.0649
112 60;59.3326;18.0649
112 63;59.3326;18.0649
112 65;59.3326;18.0649
112 66;59.3326;18.0649
112 67;59.3326;18.0649
113 22;59.3326;18.0649
113 24;59.3326;18.0649
113 26;59.3326;18.0649
113 27;59.3326;18.0649
113 28;59.3326;18.0649
113 30;59.3326;18.0649
113 31;59.3326;18.0649
113 32;59.3326;18.0649
113 34;59.3446537;18.0320538
113 37;59.3326;18.0649
113 39;59.3326;18.0649
113 40;59.3326;18.0649
113 41;59.3326;18.0649
113 42;59.3326;18.0649
113 43;59.3326;18.0649
113 46;59.3326;18.0649
113 47;59.3326;18.0649
113 50;59.3326;18.0649
113 51;59.3326;18.0649
113 56;59.3326;18.0649
113 59;59.3326;18.0649
113 61;59.3393414;18.0471034
113 64;59.3326;18.0649
113 65;59.3326;18.0649
113 66;59.3476984;18.0357692
